iter	Passed	Remaining
808	5808	1371
809	5814	1363
810	5821	1356
811	5827	1349
812	5833	1341
813	5840	1334
814	5846	1327
815	5852	1319
816	5859	1312
817	5865	1305
818	5872	1297
819	5877	1290
820	5884	1282
821	5890	1275
822	5897	1268
823	5903	1261
824	5909	1253
825	5916	1246
826	5922	1238
827	5928	1231
828	5935	1224
829	5941	1216
830	5947	1209
831	5954	1202
832	5960	1195
833	5968	1187
834	5974	1180
835	5981	1173
836	5988	1166
837	5994	1158
838	6001	1151
839	6008	1144
840	6015	1137
841	6021	1129
842	6028	1122
843	6034	1115
844	6040	1108
845	6047	1100
846	6053	1093
847	6060	1086
848	6066	1079
849	6073	1071
850	6079	1064
851	6086	1057
852	6092	1049
853	6099	1042
854	6105	1035
855	6111	1028
856	6117	1020
857	6123	1013
858	6129	1006
859	6136	998
860	6141	991
861	6148	984
862	6154	977
863	6161	969
864	6168	962
865	6175	955
866	6182	948
867	6189	941
868	6196	934
869	6203	926
870	6209	919
871	6215	912
872	6222	905
873	6229	898
874	6235	890
875	6242	883
876	6249	876
877	6256	869
878	6263	862
879	6269	854
880	6276	847
881	6282	840
882	6288	833
883	6295	826
884	6301	818
885	6307	811
886	6313	804
887	6319	797
888	6325	789
889	6331	782
890	6337	775
891	6343	768
892	6349	760
893	6355	753
894	6362	746
895	6368	739
896	6374	731
897	6380	724
898	6387	717
899	6394	710
900	6400	703
901	6406	696
902	6412	688
903	6418	681
904	6425	674
905	6431	667
906	6437	660
907	6443	652
908	6449	645
909	6457	638
910	6463	631
911	6470	624
912	6477	617
913	6484	610
914	6491	603
915	6498	595
916	6505	588
917	6511	581
918	6518	574
919	6524	567
920	6530	560
921	6537	553
922	6543	545
923	6549	538
924	6556	531
925	6562	524
926	6568	517
927	6575	510
928	6581	503
929	6588	495
930	6595	488
931	6601	481
932	6608	474
933	6613	467
934	6620	460
935	6626	453
936	6632	445
937	6638	438
938	6644	431
939	6651	424
940	6657	417
941	6664	410
942	6671	403
943	6678	396
944	6685	389
945	6692	382
946	6698	374
947	6705	367
948	6711	360
949	6718	353
950	6725	346
951	6732	339
952	6738	332
953	6745	325
954	6751	318
955	6757	311
956	6764	303
957	6771	296
958	6778	289
959	6784	282
960	6791	275
961	6798	268
962	6805	261
963	6811	254
964	6817	247
965	6823	240
966	6830	233
967	6836	225
968	6842	218
969	6848	211
970	6854	204
971	6860	197
972	6866	190
973	6873	183
974	6879	176
975	6885	169
976	6892	162
977	6898	155
978	6904	148
979	6911	141
980	6917	133
981	6923	126
982	6929	119
983	6935	112
984	6941	105
985	6948	98
986	6955	91
987	6962	84
988	6969	77
989	6977	70
990	6983	63
991	6990	56
992	6998	49
993	7004	42
994	7011	35
995	7017	28
996	7024	21
997	7030	14
998	7036	7
999	7042	0
